# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.30770856	-59.90060666
4.31503459	-60.33522638
4.32236063	-60.49068766
4.32968666	-60.15019536
4.33701270	-60.02877873
4.34433873	-59.75640188
4.35166477	-59.32754194
4.35899080	-58.82495453
4.36631684	-58.75257794
4.37364287	-58.40480338
4.38096891	-58.21305525
4.38829494	-58.17228396
4.39562098	-58.15185213
4.40294701	-58.47081115
4.41027304	-58.68972915
4.41759908	-59.19304072
4.42492511	-59.64042749
4.43225115	-60.26857954
4.43957718	-60.90440780
4.44690322	-61.04915156
4.45422925	-61.18602900
4.46155529	-60.81254788
4.46888132	-62.26033095
4.47620736	-63.86653009
4.48353339	-61.08014019
4.49085943	-59.78221375
4.49818546	-59.58517953
4.50551150	-59.74205847
4.51283753	-62.58737472
4.52016357	-68.89770636
4.52748960	-64.34455418
4.53481564	-63.73631161
4.54214167	-66.74635961
4.54946771	-65.95487764
4.55679374	-65.51349122
4.56411978	-65.93903740
4.57144581	-65.43051547
4.57877185	-65.52355644
4.58609788	-65.13792930
4.59342392	-64.04852727
4.60074995	-65.56177988
4.60807599	-67.07065392
4.61540202	-63.84907320
4.62272806	-63.29512393
4.63005409	-63.97161602
4.63738013	-64.03758749
4.64470616	-64.49033060
4.65203220	-64.87199938
4.65935823	-65.88727250
4.66668427	-67.03600687
4.67401030	-67.51347862
4.68133634	-67.73035454
4.68866237	-68.07538357
4.69598841	-68.70621206
4.70331444	-68.14197484
4.71064048	-67.52566196
4.71796651	-67.59384110
4.72529255	-67.76029827
4.73261858	-68.53374649
4.73994462	-69.76353802
4.74727065	-67.30742807
4.75459669	-65.73938558
4.76192272	-66.54332809
4.76924876	-67.19282098
4.77657479	-67.77149726
4.78390083	-68.28531177
4.79122686	-68.89965800
4.79855290	-70.68368504
4.80587893	-70.85739297
4.81320497	-71.69773945
4.82053100	-71.88603177
4.82785704	-70.99996848
4.83518307	-71.64890207
4.84250911	-70.88574702
4.84983514	-70.16074136
4.85716118	-70.05561780
4.86448721	-69.60142495
4.87181325	-69.78106097
4.87913928	-69.90053692
4.88646532	-69.75657562
4.89379135	-70.38908773
4.90111739	-70.91376130
4.90844342	-71.92729929
4.91576946	-72.51528286
4.92309549	-71.82411995
4.93042153	-73.41326987
4.93774756	-74.04738651
4.94507360	-73.31560230
4.95239963	-73.34761390
4.95972567	-73.11837385
4.96705170	-73.54486470
4.97437774	-72.80728424
4.98170377	-72.83749502
4.98902981	-71.25262267
4.99635584	-70.57358227
5.00368188	-71.82765804
5.01100791	-70.79345547
5.01833395	-70.94966328
5.02565998	-71.96407316
5.03298602	-71.87649608
5.04031205	-71.82528613
5.04763809	-71.18250103
5.05496412	-71.74654370
5.06229016	-72.29001336
5.06961619	-72.55840669
5.07694223	-72.14408761
5.08426826	-70.54945521
5.09159430	-70.22749275
5.09892033	-70.99531462
5.10624637	-73.55226178
5.11357240	-75.26826357
5.12089844	-71.42265469
5.12822447	-69.61233522
5.13555051	-70.36322187
5.14287654	-71.07743584
5.15020258	-70.23545451
5.15752861	-70.33324913
5.16485465	-70.44146552
5.17218068	-70.23940559
5.17950672	-70.34168197
5.18683275	-71.00216334
5.19415879	-72.32741819
5.20148482	-72.53169564
5.20881086	-72.18412050
5.21613689	-72.00606904
5.22346293	-71.90151600
5.23078896	-71.27690745
5.23811500	-71.55166154
5.24544103	-72.03716445
5.25276707	-71.97004849
5.26009310	-72.51587364
5.26741914	-70.99663536
5.27474517	-73.09951059
5.28207121	-75.95558059
5.28939724	-70.74922795
5.29672327	-71.25115290
5.30404931	-73.16011870
5.31137534	-73.65015764
5.31870138	-77.13257441
5.32602741	-79.06835151
5.33335345	-76.06684645
5.34067948	-74.25061632
5.34800552	-76.56068360
5.35533155	-78.54919674
5.36265759	-77.37809963
5.36998362	-80.93473251
5.37730966	-82.51436572
5.38463569	-82.69810551
5.39196173	-84.59305987
5.39928776	-83.66133666
5.40661380	-84.04463660
5.41393983	-81.25080364
5.42126587	-80.09488816
5.42859190	-81.23948705
5.43591794	-79.21148274
5.44324397	-80.44837764
5.45057001	-81.35239783
5.45789604	-76.40086097
5.46522208	-75.37017719
5.47254811	-74.67841999
5.47987415	-73.96801270
5.48720018	-74.16381216
5.49452622	-73.55507886
5.50185225	-73.38139721
5.50917829	-74.54028114
5.51650432	-74.86065089
5.52383036	-73.95867749
5.53115639	-73.09094287
5.53848243	-71.88427102
5.54580846	-71.65091304
5.55313450	-71.28153735
5.56046053	-70.72592577
5.56778657	-70.81837145
5.57511260	-70.09777407
5.58243864	-70.40447322
5.58976467	-70.58190160
5.59709071	-69.83206147
5.60441674	-70.71396780
5.61174278	-71.16377354
5.61906881	-71.50518289
5.62639485	-72.00554387
5.63372088	-71.66452464
5.64104692	-73.57309740
5.64837295	-74.14319768
5.65569899	-72.60786740
5.66302502	-73.42153218
5.67035106	-74.07273804
5.67767709	-73.85159171
5.68500313	-73.64462913
5.69232916	-73.89516109
5.69965520	-74.97035505
5.70698123	-74.09836155
5.71430727	-73.83967244
5.72163330	-74.30793192
5.72895934	-74.32333881
5.73628537	-76.17544730
5.74361141	-76.04492567
5.75093744	-74.82913216
5.75826348	-74.13947160
5.76558951	-74.68388368
5.77291555	-77.10967120
5.78024158	-75.60203070
