# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.62271066	-66.54889177
4.63003667	-66.00328631
4.63736267	-65.11825575
4.64468868	-64.65214156
4.65201469	-65.29552514
4.65934070	-66.59415914
4.66666670	-67.85835561
4.67399271	-69.14423682
4.68131872	-70.29932872
4.68864473	-70.77569034
4.69597073	-71.01277834
4.70329674	-70.22245957
4.71062275	-69.06081739
4.71794876	-68.17945808
4.72527476	-67.14831910
4.73260077	-67.50025781
4.73992678	-69.02762052
4.74725279	-68.48980676
4.75457879	-68.30161885
4.76190480	-69.70551288
4.76923081	-70.04041960
4.77655682	-70.45034915
4.78388282	-71.32038920
4.79120883	-70.94174756
4.79853484	-70.76511938
4.80586084	-70.49345800
4.81318685	-70.13914606
4.82051286	-70.57225163
4.82783887	-71.64846409
4.83516487	-72.56951694
4.84249088	-72.62967201
4.84981689	-72.89322166
4.85714290	-73.43413827
4.86446890	-72.90011280
4.87179491	-71.91082904
4.87912092	-71.47458555
4.88644693	-71.46812622
4.89377293	-70.86475484
4.90109894	-70.64280725
4.90842495	-72.21135484
4.91575096	-74.03013394
4.92307696	-74.64306784
4.93040297	-76.41083005
4.93772898	-77.40495081
4.94505498	-77.19649731
4.95238099	-77.24214577
4.95970700	-75.37294992
4.96703301	-73.95585847
4.97435901	-73.70062793
4.98168502	-73.22531298
4.98901103	-72.81348670
4.99633704	-73.78011722
5.00366304	-74.94698554
5.01098905	-74.56028727
5.01831506	-75.25984008
5.02564107	-76.11168493
5.03296707	-75.53513446
5.04029308	-75.84042781
5.04761909	-74.95583654
5.05494510	-74.24926538
5.06227110	-74.98340207
5.06959711	-74.28146501
5.07692312	-74.25176788
5.08424913	-76.61745189
5.09157513	-77.40432224
5.09890114	-78.10442992
5.10622715	-83.21765204
5.11355315	-81.13572953
5.12087916	-77.44676142
5.12820517	-76.53922711
5.13553118	-76.04874525
5.14285718	-75.48029376
5.15018319	-75.48375180
5.15750920	-76.49209715
5.16483521	-77.61783123
5.17216121	-77.85624510
5.17948722	-78.56419360
5.18681323	-80.10063650
5.19413924	-81.27939637
5.20146524	-82.09294394
5.20879125	-82.47214128
5.21611726	-80.40831767
5.22344327	-78.12444113
5.23076927	-78.02957342
5.23809528	-79.83515195
5.24542129	-81.44052798
5.25274730	-83.65299323
5.26007330	-87.37985775
5.26739931	-85.59403097
5.27472532	-87.19490155
5.28205132	-87.98821332
5.28937733	-82.42492987
5.29670334	-82.15237229
5.30402935	-82.25719242
5.31135535	-79.20363417
5.31868136	-78.74568164
5.32600737	-81.43171280
5.33333338	-83.56489491
5.34065938	-82.39783776
5.34798539	-81.62877232
5.35531140	-82.14383043
5.36263741	-84.37111181
5.36996341	-83.70435573
5.37728942	-83.61906624
5.38461543	-84.07269509
5.39194144	-80.98940018
5.39926744	-80.07886625
5.40659345	-79.78586174
5.41391946	-78.44552962
5.42124546	-78.56824117
5.42857147	-79.39681383
5.43589748	-79.33122591
5.44322349	-80.50316211
5.45054949	-79.72003591
5.45787550	-78.19959635
5.46520151	-78.09349248
5.47252752	-77.17022895
5.47985352	-76.27734040
5.48717953	-75.78995568
5.49450554	-75.42251491
5.50183155	-75.33843148
5.50915755	-75.49200585
5.51648356	-76.97319721
5.52380957	-78.63276597
5.53113558	-77.90754566
5.53846158	-78.45585589
5.54578759	-78.92025969
5.55311360	-77.33193828
5.56043961	-75.93888553
5.56776561	-74.91844439
5.57509162	-74.71141384
5.58241763	-75.06323820
5.58974363	-76.11541105
5.59706964	-79.00285477
5.60439565	-79.23821311
5.61172166	-77.53667568
5.61904766	-79.23972869
5.62637367	-80.89684807
5.63369968	-80.09900226
5.64102569	-82.53114261
5.64835169	-81.54659197
5.65567770	-78.15992758
5.66300371	-78.38049807
5.67032972	-80.24399048
5.67765572	-81.38238686
5.68498173	-83.28043091
5.69230774	-84.18330424
5.69963375	-84.83339718
5.70695975	-86.53973149
5.71428576	-83.10491068
5.72161177	-81.64849214
5.72893778	-83.48571706
5.73626378	-84.28250977
5.74358979	-82.16449163
5.75091580	-80.88276112
5.75824180	-81.46341974
5.76556781	-84.90579758
5.77289382	-88.65964033
5.78021983	-87.42622550
5.78754583	-87.28239458
5.79487184	-88.43045863
5.80219785	-91.73001555
5.80952386	-95.08172462
5.81684986	-88.38902895
5.82417587	-84.83845404
5.83150188	-83.57602534
5.83882789	-83.15074605
5.84615389	-83.84606454
5.85347990	-85.51068928
5.86080591	-85.88011608
5.86813192	-86.68540671
5.87545792	-92.03645828
5.88278393	-90.25333279
5.89010994	-84.55081760
5.89743594	-82.05194824
5.90476195	-79.67243224
5.91208796	-77.78326693
5.91941397	-76.94828443
5.92673997	-76.79163008
5.93406598	-77.33582369
5.94139199	-78.65129997
5.94871800	-79.99688236
5.95604400	-80.92011643
5.96337001	-81.25105803
5.97069602	-80.81412240
5.97802203	-80.62539754
5.98534803	-79.57192858
5.99267404	-77.50126637
6.00000005	-77.01439357
6.00732606	-78.43226419
6.01465206	-80.03404327
6.02197807	-82.02628431
6.02930408	-84.67285788
6.03663009	-83.01804887
6.04395609	-82.84208787
6.05128210	-85.71550466
6.05860811	-84.72716498
6.06593411	-83.96174003
6.07326012	-90.33787488
6.08058613	-94.87339979
6.08791214	-86.51079474
6.09523814	-85.47555549
6.10256415	-87.32187687
6.10989016	-94.92093525
6.11721617	-98.65608231
6.12454217	-95.10536305
6.13186818	-98.12837729
6.13919419	-92.29301237
6.14652020	-88.41872850
6.15384620	-88.59814024
6.16117221	-89.04274019
6.16849822	-85.71883853
6.17582423	-82.85099932
6.18315023	-82.03782810
6.19047624	-83.59500557
6.19780225	-85.37596444
6.20512826	-83.30182294
6.21245426	-83.56085660
6.21978027	-85.20893503
6.22710628	-82.84003321
6.23443228	-82.59735981
6.24175829	-84.21570487
6.24908430	-85.23818825
6.25641031	-88.03264892
6.26373631	-87.80027529
6.27106232	-86.34618463
6.27838833	-90.70732953
6.28571434	-90.21269271
6.29304034	-85.97901754
6.30036635	-88.09716121
6.30769236	-87.89349349
6.31501837	-85.45078767
6.32234437	-88.00957533
6.32967038	-88.85773139
6.33699639	-87.16731032
6.34432240	-90.09700198
6.35164840	-96.02715991
6.35897441	-94.87426687
6.36630042	-95.81975536
6.37362642	-107.19035758
6.38095243	-106.43172260
6.38827844	-107.72054605
6.39560445	-92.59824073
6.40293045	-91.25523950
6.41025646	-102.16247488
6.41758247	-93.24393162
6.42490848	-89.89523660
6.43223448	-89.13651861
6.43956049	-90.60265769
6.44688650	-94.47243412
6.45421251	-91.65808236
6.46153851	-93.13832470
6.46886452	-103.92596353
6.47619053	-104.74882133
6.48351654	-97.78655605
6.49084254	-93.93135328
6.49816855	-93.75121021
6.50549456	-92.76526469
6.51282057	-89.55084658
6.52014657	-91.25130286
6.52747258	-106.58123227
6.53479859	-96.14066137
6.54212459	-95.88184723
6.54945060	-100.65281679
6.55677661	-95.80845860
6.56410262	-95.11746764
6.57142862	-99.00436561
6.57875463	-102.93204776
6.58608064	-99.29484508
6.59340665	-96.07982990
6.60073265	-97.57005648
6.60805866	-108.08868928
6.61538467	-106.93864189
6.62271068	-96.59403454
6.63003668	-91.59223619
6.63736269	-90.05518581
6.64468870	-90.49798204
6.65201471	-93.87371450
6.65934071	-99.25664911
6.66666672	-94.75054650
6.67399273	-95.31863483
6.68131874	-102.35942778
6.68864474	-96.94237376
6.69597075	-96.03374581
6.70329676	-95.69823922
6.71062276	-93.76823785
6.71794877	-99.15950475
6.72527478	-106.34094481
6.73260079	-100.05406641
6.73992679	-99.46532301
6.74725280	-94.51012380
6.75457881	-92.93770386
6.76190482	-91.71600872
6.76923082	-94.07241900
6.77655683	-108.21731307
6.78388284	-93.37334238
6.79120885	-92.04372678
6.79853485	-98.31184029
6.80586086	-112.59915350
6.81318687	-105.55397031
6.82051288	-104.22652532
6.82783888	-97.98653012
6.83516489	-101.10188023
6.84249090	-107.80684623
6.84981691	-96.86465891
6.85714291	-95.92136926
6.86446892	-97.86045600
6.87179493	-97.91597128
6.87912093	-100.63849140
6.88644694	-98.12878640
6.89377295	-96.59872930
6.90109896	-108.53289925
6.90842496	-100.52379435
6.91575097	-101.22615862
6.92307698	-106.35386169
6.93040299	-96.18665408
6.93772899	-96.87293659
6.94505500	-103.16721628
6.95238101	-98.75664897
6.95970702	-95.23229769
