# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:12:00
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.22710628	-93.31760487
6.23443228	-90.80243661
6.24175829	-95.01153875
6.24908430	-92.88536804
6.25641031	-87.58665098
6.26373631	-90.12770717
6.27106232	-105.24163809
6.27838833	-92.56616068
6.28571434	-89.74100911
6.29304034	-91.73837087
6.30036635	-92.54221954
6.30769236	-86.38197649
6.31501837	-89.36991027
6.32234437	-105.28958378
6.32967038	-101.59941837
6.33699639	-95.13977492
6.34432240	-90.77359732
6.35164840	-95.83437956
6.35897441	-96.95539337
6.36630042	-96.40769892
6.37362642	-89.50491357
6.38095243	-96.95304614
6.38827844	-93.02607177
6.39560445	-97.35011483
6.40293045	-92.57684382
6.41025646	-92.07483201
6.41758247	-105.54608884
6.42490848	-97.90375670
6.43223448	-91.77244265
6.43956049	-88.62381201
6.44688650	-100.32797948
6.45421251	-89.40228415
6.46153851	-99.10888359
6.46886452	-88.83186798
6.47619053	-87.54811592
6.48351654	-102.27148553
6.49084254	-92.84720006
6.49816855	-88.09893229
6.50549456	-84.83794056
6.51282057	-83.20281019
6.52014657	-87.10540388
6.52747258	-106.77676982
6.53479859	-94.79510315
6.54212459	-94.09137895
6.54945060	-87.16263611
6.55677661	-88.58495143
6.56410262	-87.39553465
6.57142862	-89.85630727
6.57875463	-90.23577890
6.58608064	-92.68765561
6.59340665	-96.82575483
6.60073265	-101.41364879
6.60805866	-101.34620609
6.61538467	-92.54358756
6.62271068	-83.65418245
6.63003668	-82.58762625
6.63736269	-87.95582240
6.64468870	-87.18225105
6.65201471	-89.88985597
6.65934071	-101.42232430
6.66666672	-90.10022384
6.67399273	-89.30375940
6.68131874	-97.58663085
6.68864474	-92.53590664
6.69597075	-91.97095552
6.70329676	-86.53071387
6.71062276	-85.44138109
6.71794877	-95.38919691
6.72527478	-87.44266364
6.73260079	-86.85246065
6.73992679	-90.70958202
6.74725280	-90.07625927
6.75457881	-89.92088093
6.76190482	-85.94664482
6.76923082	-83.74574311
6.77655683	-86.05638909
6.78388284	-99.64353229
6.79120885	-88.93200718
6.79853485	-87.15023603
6.80586086	-89.93969609
6.81318687	-88.15295566
6.82051288	-90.97348025
6.82783888	-103.74746450
6.83516489	-91.23146918
6.84249090	-90.60372395
6.84981691	-92.31137172
6.85714291	-99.30237408
6.86446892	-94.93643565
6.87179493	-99.41688643
6.87912093	-103.99706076
6.88644694	-100.46119862
6.89377295	-86.88460293
6.90109896	-84.67608012
6.90842496	-92.90594903
6.91575097	-90.70673347
6.92307698	-86.81402080
6.93040299	-91.20710287
6.93772899	-99.80284007
6.94505500	-99.47756033
6.95238101	-92.04038633
6.95970702	-97.72506123
6.96703302	-98.82663764
6.97435903	-100.76150274
6.98168504	-88.01602728
6.98901105	-83.81324472
6.99633705	-86.15238946
7.00366306	-95.73050766
7.01098907	-100.60589898
7.01831507	-94.75938958
7.02564108	-94.08993945
7.03296709	-96.17932737
7.04029310	-93.00937142
7.04761910	-89.69505967
7.05494511	-89.69709233
7.06227112	-94.11345568
7.06959713	-87.45498304
7.07692313	-87.14609131
7.08424914	-90.33434649
7.09157515	-87.52741729
7.09890116	-91.65254104
7.10622716	-97.07449885
7.11355317	-88.45198542
7.12087918	-89.96770210
7.12820519	-96.51474777
7.13553119	-99.70236394
7.14285720	-90.87875896
7.15018321	-93.43567806
7.15750922	-94.04400953
7.16483522	-90.98002899
7.17216123	-108.71126401
7.17948724	-89.12031034
7.18681324	-89.75633649
7.19413925	-101.37117239
7.20146526	-98.18347537
7.20879127	-88.23102503
7.21611727	-87.42537713
7.22344328	-92.36879734
7.23076929	-89.76279046
7.23809530	-87.38022733
7.24542130	-86.90951180
7.25274731	-89.54448031
7.26007332	-89.67397809
7.26739933	-97.89060030
7.27472533	-87.36698591
7.28205134	-90.68864564
7.28937735	-91.78919209
7.29670336	-86.45755572
7.30402936	-95.32542706
7.31135537	-101.30218987
7.31868138	-93.80699091
7.32600739	-87.07024716
7.33333339	-91.66928242
7.34065940	-95.48510232
7.34798541	-91.70971203
7.35531141	-103.59499151
7.36263742	-98.79764972
7.36996343	-98.13375993
7.37728944	-104.71782714
7.38461544	-101.33350769
7.39194145	-100.41525005
7.39926746	-92.03752488
7.40659347	-87.53859719
7.41391947	-88.43154320
7.42124548	-90.17142980
7.42857149	-87.92407174
7.43589750	-89.45018952
7.44322350	-90.75498724
7.45054951	-94.54850494
7.45787552	-90.16085792
7.46520153	-84.24329939
7.47252753	-94.77249798
7.47985354	-86.02252177
7.48717955	-86.72424062
7.49450555	-87.35823695
7.50183156	-80.00627932
7.50915757	-83.49236521
7.51648358	-92.64748870
7.52380958	-87.41770293
