# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:39:58
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.27472532	-83.91547021
5.28205132	-86.64965114
5.28937733	-108.92091759
5.29670334	-85.23118707
5.30402935	-88.07433251
5.31135535	-88.94986026
5.31868136	-82.92354244
5.32600737	-86.58643865
5.33333337	-88.09212932
5.34065938	-98.29785201
5.34798539	-92.28626687
5.35531140	-92.48451413
5.36263740	-89.97697921
5.36996341	-84.55482576
5.37728942	-81.27442399
5.38461543	-83.66417653
5.39194143	-89.05297531
5.39926744	-90.02469148
5.40659345	-86.69142138
5.41391946	-90.36711320
5.42124546	-84.83453412
5.42857147	-78.86044451
5.43589748	-82.23348809
5.44322349	-91.43225678
5.45054949	-90.51910345
5.45787550	-89.21223174
5.46520151	-86.09206596
5.47252752	-86.57451336
5.47985352	-84.10289782
5.48717953	-90.35554130
5.49450554	-91.08602995
5.50183154	-85.63117764
5.50915755	-84.80828901
5.51648356	-85.00777194
5.52380957	-85.31424340
5.53113557	-84.25553277
5.53846158	-87.70133428
5.54578759	-105.53339312
5.55311360	-91.27994103
5.56043960	-91.24374232
5.56776561	-94.67549326
5.57509162	-89.70951174
5.58241763	-82.59657792
5.58974363	-80.97779977
5.59706964	-86.19356397
5.60439565	-102.32846424
5.61172166	-89.97060358
5.61904766	-89.06189872
5.62637367	-94.17531502
5.63369968	-87.98977343
5.64102568	-82.45360412
5.64835169	-81.67923431
5.65567770	-81.70707336
5.66300371	-86.60880057
5.67032971	-89.03747666
5.67765572	-80.08084123
5.68498173	-81.09215470
5.69230774	-86.15258221
5.69963374	-79.65467431
5.70695975	-79.70848370
5.71428576	-88.13558631
5.72161177	-91.68671184
5.72893777	-89.01320393
5.73626378	-97.87656328
5.74358979	-96.00408903
5.75091580	-101.34050493
5.75824180	-98.07054022
5.76556781	-96.81911475
5.77289382	-100.61627569
5.78021983	-93.74258366
5.78754583	-86.06047726
5.79487184	-84.08233538
5.80219785	-93.71941561
5.80952385	-84.74143984
5.81684986	-80.93565950
5.82417587	-88.57622671
5.83150188	-88.11960247
5.83882788	-87.84575972
5.84615389	-96.64540020
5.85347990	-90.03100133
5.86080591	-96.55467074
5.86813191	-84.50901274
5.87545792	-82.71756962
5.88278393	-82.25721610
5.89010994	-86.12327059
5.89743594	-98.54132833
5.90476195	-90.02603795
5.91208796	-88.47503061
5.91941397	-94.77581713
5.92673997	-96.93127926
5.93406598	-100.00225651
5.94139199	-86.16060869
5.94871800	-84.83338149
5.95604400	-90.69871230
5.96337001	-89.04847695
5.97069602	-89.91490629
5.97802202	-99.95759156
5.98534803	-92.31593489
5.99267404	-86.14353791
6.00000005	-85.00598624
6.00732605	-87.97546085
6.01465206	-91.75097452
6.02197807	-88.85889031
6.02930408	-86.72791686
6.03663008	-87.03416037
6.04395609	-87.83280282
6.05128210	-89.93907934
6.05860811	-85.51986381
6.06593411	-82.69827290
6.07326012	-84.66686645
6.08058613	-89.01506224
6.08791214	-85.92025397
6.09523814	-79.48710989
6.10256415	-77.28228235
6.10989016	-81.99347503
6.11721616	-90.22742646
6.12454217	-83.60685769
6.13186818	-91.82878464
6.13919419	-87.03725739
6.14652019	-87.58265192
6.15384620	-81.55938993
6.16117221	-84.34406006
6.16849822	-93.56906245
6.17582422	-85.13950337
6.18315023	-84.02930088
6.19047624	-79.30866676
6.19780225	-79.31300271
6.20512825	-78.86811609
6.21245426	-80.22326434
6.21978027	-83.29791840
6.22710628	-84.96881415
6.23443228	-87.05983236
6.24175829	-83.13263253
6.24908430	-88.03942899
6.25641031	-96.26417446
6.26373631	-91.57400924
6.27106232	-89.14656428
6.27838833	-85.08571952
6.28571433	-85.07366004
6.29304034	-82.01462111
6.30036635	-79.26148062
6.30769236	-84.84486478
6.31501836	-86.64427865
6.32234437	-81.35868760
6.32967038	-84.29244224
6.33699639	-76.80467086
6.34432239	-76.67696925
6.35164840	-86.78620082
6.35897441	-84.85462433
6.36630042	-83.43862663
6.37362642	-81.33846191
6.38095243	-79.95503774
6.38827844	-84.90036396
6.39560445	-85.10562982
6.40293045	-81.87130824
6.41025646	-85.99868034
6.41758247	-115.05328612
6.42490847	-94.68316979
6.43223448	-88.93409673
6.43956049	-86.16861992
6.44688650	-83.86991593
6.45421250	-82.11256006
6.46153851	-86.19690621
6.46886452	-109.73445194
6.47619053	-86.44235987
6.48351653	-85.02283980
6.49084254	-97.07121495
6.49816855	-82.28345050
6.50549456	-79.06432880
6.51282056	-79.65242010
6.52014657	-81.65480475
6.52747258	-88.17469684
6.53479859	-88.09951611
6.54212459	-81.55375430
6.54945060	-85.37624517
6.55677661	-92.39257564
6.56410262	-84.69460041
6.57142862	-90.83068358
6.57875463	-92.15382569
6.58608064	-83.80788967
6.59340664	-85.28425040
6.60073265	-93.42631688
6.60805866	-89.76895351
6.61538467	-89.43431630
6.62271067	-81.69128842
6.63003668	-83.10924210
6.63736269	-81.81779673
6.64468870	-82.00797457
6.65201470	-84.86752527
6.65934071	-88.18955420
6.66666672	-91.48105802
6.67399273	-86.06443682
6.68131873	-101.67850702
6.68864474	-85.84059602
6.69597075	-85.80342501
6.70329676	-84.29661693
6.71062276	-85.01068408
6.71794877	-87.44607065
6.72527478	-90.21970321
6.73260079	-109.19754290
6.73992679	-102.77166174
6.74725280	-84.88192349
6.75457881	-82.00805156
6.76190481	-90.14490281
6.76923082	-93.60792057
6.77655683	-91.41843331
6.78388284	-80.04871672
6.79120884	-77.69274674
6.79853485	-81.17466976
6.80586086	-88.14288626
6.81318687	-98.11144601
6.82051287	-92.02967033
6.82783888	-87.51297100
6.83516489	-86.32199592
6.84249090	-87.83334713
6.84981690	-89.18392607
6.85714291	-86.91805620
6.86446892	-85.17016635
6.87179493	-90.79026645
6.87912093	-93.42275785
6.88644694	-87.55589559
6.89377295	-84.58698991
6.90109895	-81.04331188
6.90842496	-83.28919291
6.91575097	-95.13141406
6.92307698	-89.77263991
6.93040298	-88.39314661
6.93772899	-89.37166528
6.94505500	-92.78456105
6.95238101	-93.28939143
6.95970701	-84.54684716
6.96703302	-85.16136626
6.97435903	-93.49505501
6.98168504	-82.93478597
6.98901104	-80.98938415
6.99633705	-82.97699785
7.00366306	-86.67405578
7.01098907	-92.90007428
7.01831507	-86.81974586
7.02564108	-83.76888614
7.03296709	-83.98382785
7.04029310	-86.95409567
7.04761910	-94.27338026
7.05494511	-93.09755142
7.06227112	-82.30588872
7.06959712	-80.24486860
7.07692313	-84.28580642
7.08424914	-99.44354976
7.09157515	-93.24263182
7.09890115	-90.20400680
7.10622716	-82.32323712
7.11355317	-79.96055344
7.12087918	-83.68084354
7.12820518	-88.31184383
7.13553119	-83.58561925
7.14285720	-86.70609920
7.15018321	-101.47687850
7.15750921	-89.71729629
7.16483522	-89.36540850
7.17216123	-97.02751350
7.17948724	-82.81226502
7.18681324	-81.23449133
7.19413925	-83.00504221
7.20146526	-82.19364284
7.20879126	-82.55457551
7.21611727	-82.71289522
7.22344328	-82.92284726
7.23076929	-85.30005009
7.23809529	-90.72805690
7.24542130	-89.93465250
7.25274731	-92.87549572
7.26007332	-87.04594303
7.26739932	-79.36997946
7.27472533	-77.23081667
7.28205134	-79.19061572
7.28937735	-85.90810566
7.29670335	-81.23366644
7.30402936	-80.19185272
7.31135537	-90.77571881
7.31868138	-85.32022371
7.32600738	-83.74399443
7.33333339	-96.63233611
7.34065940	-89.20159354
7.34798541	-85.70334799
7.35531141	-84.68150423
7.36263742	-87.47117565
7.36996343	-90.54619961
7.37728943	-86.73025992
7.38461544	-84.61654697
7.39194145	-89.06469998
7.39926746	-94.77010455
7.40659346	-94.39901009
7.41391947	-87.74008792
7.42124548	-93.74244482
7.42857149	-90.23698133
7.43589749	-93.99395527
7.44322350	-85.12004377
7.45054951	-82.54731308
7.45787552	-90.31145847
7.46520152	-79.29020229
7.47252753	-86.01746518
7.47985354	-82.46932986
7.48717955	-85.77239189
7.49450555	-76.59535729
7.50183156	-71.63913310
7.50915757	-76.37451644
7.51648358	-88.48287826
7.52380958	-81.81105144
